# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.614343261718750000e+02 6.155090928077697754e-01 2.615013732910156250e+02 6.140722036361694336e-01
1.000000000000000000e+03 2.434471130371093750e+00 5.793326497077941895e-01 2.320867538452148438e+00 5.684884190559387207e-01
2.000000000000000000e+03 1.933379411697387695e+00 6.034393906593322754e-01 1.839698195457458496e+00 5.921450257301330566e-01
3.000000000000000000e+03 1.562303662300109863e+00 5.657002925872802734e-01 1.478208303451538086e+00 5.523055195808410645e-01
4.000000000000000000e+03 1.323294639587402344e+00 5.233762860298156738e-01 1.248682260513305664e+00 5.087268948554992676e-01
5.000000000000000000e+03 1.080034613609313965e+00 4.648575782775878906e-01 1.018688321113586426e+00 4.512641429901123047e-01
5.000000000000000000e+03 1.080034613609313965e+00 4.648575782775878906e-01 1.018688321113586426e+00 4.512641429901123047e-01
6.000000000000000000e+03 5.138600990176200867e-02 8.364338427782058716e-02 5.133322998881340027e-02 8.334370702505111694e-02
7.000000000000000000e+03 4.643360525369644165e-02 6.872735917568206787e-02 4.646660387516021729e-02 6.848350167274475098e-02
8.000000000000000000e+03 3.386785835027694702e-02 5.381912365555763245e-02 3.391085937619209290e-02 5.375912413001060486e-02
9.000000000000000000e+03 2.919731661677360535e-02 4.611214250326156616e-02 2.920895814895629883e-02 4.611312970519065857e-02
1.000000000000000000e+04 2.987948991358280182e-02 4.010803997516632080e-02 2.988625131547451019e-02 4.005707055330276489e-02
1.100000000000000000e+04 1.844589598476886749e-02 3.811937198042869568e-02 1.845407672226428986e-02 3.810332342982292175e-02
1.200000000000000000e+04 1.015012152493000031e-02 1.661472208797931671e-02 1.015733741223812103e-02 1.659972779452800751e-02
1.300000000000000000e+04 1.998602878302335739e-03 2.110587432980537415e-03 1.993138343095779419e-03 2.099894220009446144e-03
1.400000000000000000e+04 7.636335794813930988e-04 6.550519610755145550e-04 7.644780562259256840e-04 6.516230059787631035e-04
1.500000000000000000e+04 3.029704676009714603e-04 3.788234898820519447e-04 3.022468881681561470e-04 3.762565029319375753e-04
1.600000000000000000e+04 1.379567402182146907e-04 2.902359410654753447e-04 1.377348235109820962e-04 2.891482436098158360e-04
